Description	Iteration	Algorithm	Features
StrongSignal_Both	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda	Feature55_Medium,Feature52_Medium,Feature53_Medium,Feature55_Low,Feature52_Low,Feature51_Low,Feature54_Medium,Feature51_Medium,Feature53_Low,Feature5
StrongSignal_Both	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda	Feature52_Medium,Feature55_Medium,Feature51_Medium,Feature55_Low,Feature53_Medium,Feature54_Medium,Feature51_Low,Feature52_Low,Feature54_Low,Feature3
