cancer_type	mol_type	file_name
blca	cnv	cnv_blca-ra.tsv.gz
blca	methyl	methyl_blca-sc.tsv.gz
blca	mirna	mirna_blca-sc.tsv.gz
blca	mrna	mrna_blca-sc.tsv.gz
blca	mut	mut_blca.tsv-ra.gz
blca	rppa	rppa_blca-sc.tsv.gz
brca	cnv	cnv_brca-ra.tsv.gz
brca	methyl	methyl_brca-sc.tsv.gz
brca	mirna	mirna_brca-sc.tsv.gz
brca	mrna	mrna_brca-sc.tsv.gz
brca	mut	mut_brca-ra.tsv.gz
brca	rppa	rppa_brca-sc.tsv.gz
gbm	cnv	cnv_gbm-ra.tsv.gz
gbm	methyl	methyl_gbm-sc.tsv.gz
gbm	mrna	mrna_gbm-sc.tsv.gz
gbm	mut	mut_gbm-ra.tsv.gz
gbm	rppa	rppa_gbm-sc.tsv.gz
hnsc	cnv	cnv_hnsc-ra.tsv.gz
hnsc	methyl	methyl_hnsc-sc.tsv.gz
hnsc	mirna	mirna_hnsc-sc.tsv.gz
hnsc	mrna	mrna_hnsc-sc.tsv.gz
hnsc	mut	mut_hnsc-ra.tsv.gz
hnsc	rppa	rppa_hnsc-sc.tsv.gz
kirc	cnv	cnv_kirc-ra.tsv.gz
kirc	methyl	methyl_kirc-sc.tsv.gz
kirc	mirna	mirna_kirc-sc.tsv.gz
kirc	mrna	mrna_kirc-sc.tsv.gz
kirc	mut	mut_kirc-ra.tsv.gz
kirc	rppa	rppa_kirc-sc.tsv.gz
laml	cnv	cnv_laml-ra.tsv.gz
laml	methyl	methyl_laml-sc.tsv.gz
laml	mrna	mrna_laml-sc.tsv.gz
laml	mut	mut_laml-ra.tsv.gz
lgg	cnv	cnv_lgg-ra.tsv.gz
lgg	methyl	methyl_lgg-sc.tsv.gz
lgg	mirna	mirna_lgg-sc.tsv.gz
lgg	mrna	mrna_lgg-sc.tsv.gz
lgg	mut	mut_lgg-ra.tsv.gz
lgg	rppa	rppa_lgg-sc.tsv.gz
lihc	cnv	cnv_lihc-ra.tsv.gz
lihc	methyl	methyl_lihc-sc.tsv.gz
lihc	mirna	mirna_lihc-sc.tsv.gz
lihc	mrna	mrna_lihc-sc.tsv.gz
lihc	rppa	rppa_lihc-sc.tsv.gz
luad	cnv	cnv_luad-ra.tsv.gz
luad	methyl	methyl_luad-sc.tsv.gz
luad	mirna	mirna_luad-sc.tsv.gz
luad	mrna	mrna_luad-sc.tsv.gz
luad	mut	mut_luad-ra.tsv.gz
luad	rppa	rppa_luad-sc.tsv.gz
lusc	cnv	cnv_lusc-ra.tsv.gz
lusc	methyl	methyl_lusc-sc.tsv.gz
lusc	mirna	mirna_lusc-sc.tsv.gz
lusc	mrna	mrna_lusc-sc.tsv.gz
lusc	mut	mut_lusc-ra.tsv.gz
lusc	rppa	rppa_lusc-sc.tsv.gz
ov	cnv	cnv_ov-ra.tsv.gz
ov	mirna	mirna_ov-sc.tsv.gz
ov	mrna	mrna_ov-sc.tsv.gz
ov	mut	mut_ov-ra.tsv.gz
ov	rppa	rppa_ov-sc.tsv.gz
sarc	cnv	cnv_sarc-ra.tsv.gz
sarc	methyl	methyl_sarc-sc.tsv.gz
sarc	mirna	mirna_sarc-sc.tsv.gz
sarc	mrna	mrna_sarc-sc.tsv.gz
sarc	rppa	rppa_sarc-sc.tsv.gz
skcm	cnv	cnv_skcm-ra.tsv.gz
skcm	methyl	methyl_skcm-sc.tsv.gz
skcm	mirna	mirna_skcm-sc.tsv.gz
skcm	mrna	mrna_skcm-sc.tsv.gz
skcm	mut	mut_skcm-ra.tsv.gz
skcm	rppa	rppa_skcm-sc.tsv.gz
stad	cnv	cnv_stad-ra.tsv.gz
stad	methyl	methyl_stad-sc.tsv.gz
stad	mirna	mirna_stad-sc.tsv.gz
stad	mrna	mrna_stad-sc.tsv.gz
stad	mut	mut_stad-ra.tsv.gz
stad	rppa	rppa_stad-sc.tsv.gz
