classifier	name	script
w_bayes_net	Bayes Net (Weka)	AlgorithmScripts/Classification/arff/weka__bayes__bayes_net
w_naive_bayes	Naive Bayes (Weka)	AlgorithmScripts/Classification/arff/weka__bayes__naive_bayes
w_liblinear	Liblinear (Weka)	AlgorithmScripts/Classification/arff/weka__functions__liblinear
w_multilayer_perceptron	Multilayer Perceptron (Weka)	AlgorithmScripts/Classification/arff/weka__functions__multilayer_perceptron
w_rbf_network	RBF Network (Weka)	AlgorithmScripts/Classification/arff/weka__functions__rbf_network
w_sqd	SQD (Weka)	AlgorithmScripts/Classification/arff/weka__functions__sgd
w_simplelogistic	Simple Logistic (Weka)	AlgorithmScripts/Classification/arff/weka__functions__simplelogistic
w_smo_poly	SMO Poly (Weka)	AlgorithmScripts/Classification/arff/weka__functions__smo_poly
w_svm_linear	SVM Linear (Weka)	AlgorithmScripts/Classification/arff/weka__functions__svm_linear
w_svm_poly	SVM Poly (Weka)	AlgorithmScripts/Classification/arff/weka__functions__svm_poly
w_svm_rbf	SVM RBF (Weka)	AlgorithmScripts/Classification/arff/weka__functions__svm_rbf
w_knn1	KNN (Weka)	AlgorithmScripts/Classification/arff/weka__lazy__knn1
w_lazy_lwl	Lazy LWL (Weka)	AlgorithmScripts/Classification/arff/weka__lazy__lwl
w_adaboost	Adaboost (Weka)	AlgorithmScripts/Classification/arff/weka__meta__adaboost
w_bagging	Bagging (Weka)	AlgorithmScripts/Classification/arff/weka__meta__bagging
w_logitboost	Logit Boost (Weka)	AlgorithmScripts/Classification/arff/weka__meta__logitboost
w_random_committee	Random Committee (Weka)	AlgorithmScripts/Classification/arff/weka__meta__random_committee
w_random_subspace	Random Subspace (Weka)	AlgorithmScripts/Classification/arff/weka__meta__random_subspace
w_chirp	Chirp (Weka)	AlgorithmScripts/Classification/arff/weka__misc__chirp
w_hyperpipes	Hyperpipes (Weka)	AlgorithmScripts/Classification/arff/weka__misc__hyperpipes
w_vfi	VFI (Weka)	AlgorithmScripts/Classification/arff/weka__misc__vfi
w_conjunctive_rule	Conjunctive Rule (Weka)	AlgorithmScripts/Classification/arff/weka__rules__conjunctive_rule
w_decision_table	Decision Table (Weka)	AlgorithmScripts/Classification/arff/weka__rules__decision_table
w_jrip	JRip (Weka)	AlgorithmScripts/Classification/arff/weka__rules__jrip
w_one_r	One R (Weka)	AlgorithmScripts/Classification/arff/weka__rules__one_r
w_zero_r	Zero R (Weka)	AlgorithmScripts/Classification/arff/weka__rules__zero_r
w_decision_stump	Decision Stump (Weka)	AlgorithmScripts/Classification/arff/weka__trees__decision_stump
w_decision_tree	Decision Tree (Weka)	AlgorithmScripts/Classification/arff/weka__trees__decision_tree
w_hoeffding_tree	Hoeffding Tree (Weka)	AlgorithmScripts/Classification/arff/weka__trees__hoeffding_tree
w_random_forest	Random Forest (Weka)	AlgorithmScripts/Classification/arff/weka__trees__random_forest
w_random_forest	Random Forest (Weka)	AlgorithmScripts/Classification/tsv/weka__trees__random_forest
m_naiveBayes	Naive Bayes (mlr)	AlgorithmScripts/Classification/tsv/mlr__bayes__naiveBayes
m_avNNet	NNet (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__avNNet
m_cvglmnet	cvglmnet (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__cvglmnet
m_dbnDNN	dbnDNN (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__dbnDNN
m_glmnet	glmnet (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__glmnet
m_hdrda	hdrda (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__hdrda
m_ksvm	kSVM (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__ksvm
m_lda	lda (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__lda
m_LiblineaRL1LogReg	LiblineaRL1LogReg (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__LiblineaRL1LogReg
m_LiblineaRL2LogReg	LiblineaRL2LogReg (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__LiblineaRL2LogReg
m_mlp	MLP (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__mlp
m_multinom	Multinomial (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__multinom
m_nnet	Neural Networks (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__nnet
m_nnTrain	nnTrain (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__nnTrain
m_rda	RDA (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__rda
m_saeDNN	saeDNN (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__saeDNN
m_sda	SDA (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__sda
m_svm	SVM (mlr)	AlgorithmScripts/Classification/tsv/mlr__functions__svm
m_kknn	KKNN (mlr)	AlgorithmScripts/Classification/tsv/mlr__lazy__kknn
m_boosting	Boosting (mlr)	AlgorithmScripts/Classification/tsv/mlr__meta__boosting
m_xgboost	XG Boost (mlr)	AlgorithmScripts/Classification/tsv/mlr__meta__xgboost
m_cforest	cForest (mlr)	AlgorithmScripts/Classification/tsv/mlr__trees__cforest
m_ctree	cTree (mlr)	AlgorithmScripts/Classification/tsv/mlr__trees__ctree
m_randomForestSRCSyn	Synthetic Random Forest (mlr)	AlgorithmScripts/Classification/tsv/mlr__trees__randomForestSRCSyn
m_ranger	Ranger (mlr)	AlgorithmScripts/Classification/tsv/mlr__trees__ranger
m_rpart	rPart (mlr)	AlgorithmScripts/Classification/tsv/mlr__trees__rpart
s_lda	Linear Discriminant Analysis (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__lda
s_logistic_regression	Logistic Regression (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__logistic_regression
