Description	Iteration	Algorithm	ElapsedSeconds
ecoli	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	0.81704224
ecoli	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.767474688
ecoli	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	0.74482752
ecoli	1	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.701853312
ecoli	1	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.654900224
ecoli	1	AlgorithmScripts/Classification/arff/weka/J48/default	0.681270336
ecoli	1	AlgorithmScripts/Classification/arff/weka/JRip/default	0.674823616
ecoli	1	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.666344256
ecoli	1	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	1.039020928
ecoli	1	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.682448256
ecoli	1	AlgorithmScripts/Classification/arff/weka/OneR/default	0.644638912
ecoli	1	AlgorithmScripts/Classification/arff/weka/REPTree/default	0.798889728
ecoli	1	AlgorithmScripts/Classification/arff/weka/RandomForest/default	0.842253248
ecoli	1	AlgorithmScripts/Classification/arff/weka/RandomTree/default	0.737785216
ecoli	1	AlgorithmScripts/Classification/arff/weka/SMO/default	0.844437248
ecoli	1	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	0.761003392
ecoli	1	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	0.7431968
ecoli	1	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	0.741433344
ecoli	1	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	0.82881888
ecoli	1	AlgorithmScripts/Classification/arff/weka/VFI/default	0.627676032
ecoli	2	AlgorithmScripts/Classification/arff/weka/Bagging/default	0.744136256
ecoli	2	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.73337664
ecoli	2	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	0.740046784
ecoli	2	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.671556416
ecoli	2	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.602582272
ecoli	2	AlgorithmScripts/Classification/arff/weka/J48/default	0.649507712
ecoli	2	AlgorithmScripts/Classification/arff/weka/JRip/default	0.730828096
ecoli	2	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.722823744
ecoli	2	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	1.040041536
ecoli	2	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.678916096
ecoli	2	AlgorithmScripts/Classification/arff/weka/OneR/default	0.631754112
ecoli	2	AlgorithmScripts/Classification/arff/weka/REPTree/default	0.801370944
ecoli	2	AlgorithmScripts/Classification/arff/weka/RandomForest/default	0.873091648
ecoli	2	AlgorithmScripts/Classification/arff/weka/RandomTree/default	0.767104768
ecoli	2	AlgorithmScripts/Classification/arff/weka/SMO/default	0.869693888
ecoli	2	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	0.778582016
ecoli	2	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	0.770460032
ecoli	2	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	0.786904704
ecoli	2	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	0.887435648
ecoli	2	AlgorithmScripts/Classification/arff/weka/VFI/default	0.64164864
