Description	Outer_Iteration	Inner_Iteration	Feature_Selection_Algorithm	Num_Features	Classification_Algorithm	ElapsedSeconds
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.470381824
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.466711904
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	50	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.490045536
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	100	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.465377888
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	500	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.499450432
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	1000	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.492672512
StrongSignal_Both_Docker	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.550811136
StrongSignal_Both_Docker	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.46739856
StrongSignal_Both_Docker	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	50	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.469626496
StrongSignal_Both_Docker	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	100	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.480607008
StrongSignal_Both_Docker	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	500	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.492607904
StrongSignal_Both_Docker	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	1000	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.48328752
StrongSignal_Both_Docker	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.469392
StrongSignal_Both_Docker	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.45939552
StrongSignal_Both_Docker	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	50	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.478015104
StrongSignal_Both_Docker	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	100	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.47920848
StrongSignal_Both_Docker	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	500	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.48962624
StrongSignal_Both_Docker	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	1000	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.494450688
StrongSignal_Both_Docker	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	5	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.528195424
StrongSignal_Both_Docker	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.498655584
StrongSignal_Both_Docker	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	50	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.490645024
StrongSignal_Both_Docker	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	100	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.563516096
StrongSignal_Both_Docker	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	500	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.492469152
StrongSignal_Both_Docker	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	1000	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	0.476029472
