Description	Outer_Iteration	Inner_Iteration	Feature_Selection_Algorithm	Num_Features	Classification_Algorithm	Metric	Value
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	AUROC	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Accuracy	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	BalancedAccuracy	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Brier	0.0169731395271976
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	F1	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FDR	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FNR	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	FPR	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MCC	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	MMCE	0
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	NPV	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	PPV	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Precision	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	Recall	1
StrongSignal_Both_Docker	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	10	AlgorithmScripts/Classification/tsv/sklearn/svm_linear/default	TNR	1
