Description	Iteration	Fold	Algorithm	Metric	Value
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	AUROC	0.425180061484409
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	Accuracy	0.688888888888889
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	BalancedAccuracy	0.551483781918565
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	Brier	0.225229270804282
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	F1	NA
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	FDR	NA
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	FNR	0.593650793650794
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	FPR	0.303381642512077
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	MCC	NA
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	MMCE	0.311111111111111
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	NPV	0.738271604938272
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	PPV	NA
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	Recall	0.406349206349206
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	TNR	0.696618357487923
NoSignal_Both	1	1	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	TPR	0.406349206349206
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	AUROC	0.345727199531547
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	Accuracy	0.533333333333333
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	BalancedAccuracy	0.402783267457181
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	Brier	0.253356935079032
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	F1	NA
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	FDR	0.767676767676768
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	FNR	0.780555555555556
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	FPR	0.413877909530083
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	MCC	-0.216244236000423
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	MMCE	0.466666666666667
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	NPV	0.52858024691358
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	PPV	0.232323232323232
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	Recall	0.219444444444444
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	TNR	0.586122090469917
NoSignal_Both	1	2	/Users/srp33/Dropbox/ShinyLearner/AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	TPR	0.219444444444444
