Description	Iteration	Fold	Feature_Selection_Algorithm	Num_Features	Classification_Algorithm	Classification_Algorithm_Group
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	10	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default__C=1.0_class_weight=None_solver=liblinear	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression
StrongSignal_Both	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	20	AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	AlgorithmScripts/Classification/tsv/sklearn/lda
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	10	AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	AlgorithmScripts/Classification/tsv/sklearn/lda
StrongSignal_Both	1	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	10	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default__C=1.0_class_weight=None_solver=liblinear	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	10	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default__C=1.0_class_weight=None_solver=liblinear	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression
StrongSignal_Both	2	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	20	AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	AlgorithmScripts/Classification/tsv/sklearn/lda
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	10	AlgorithmScripts/Classification/tsv/sklearn/lda/default__tol=0.0001	AlgorithmScripts/Classification/tsv/sklearn/lda
StrongSignal_Both	2	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	10	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default__C=1.0_class_weight=None_solver=liblinear	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression
