Description	Iteration	Fold	Algorithm	Metric	Value
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	AUROC	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	Accuracy	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	BalancedAccuracy	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	Brier	0.02720895373467
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	F1	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	FDR	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	FNR	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	FPR	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	MCC	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	MMCE	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	NPV	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	PPV	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	Recall	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	TNR	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	TPR	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	AUROC	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Accuracy	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	BalancedAccuracy	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Brier	0.0112005860779631
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	F1	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	FDR	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	FNR	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	FPR	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	MCC	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	MMCE	0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	NPV	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	PPV	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Recall	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	TNR	1
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	TPR	1
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	AUROC	1
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	Accuracy	1
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	BalancedAccuracy	1
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	Brier	5.40370531777133e-11
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	F1	1
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	FDR	0
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	FNR	0
