Description	Iteration	Fold	Algorithm	Features
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda	Feature5,Feature1,Feature11,Feature2,Feature3,Feature4,Feature41,Feature42,Feature51_Low,Feature52_Low,Feature52_Medium,Feature54_Low,Feature55_Low,Feature55_Medium,Feature59_Low,Feature10,Feature17,Feature19,Feature23,Feature24
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Feature52_Medium,Feature3,Feature55_Medium,Feature55_Low,Feature52_Low,Feature54_Medium,Feature54_Low,Feature4,Feature1,Feature5
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda	Feature53_Medium,Feature52_Medium,Feature51_Low,Feature55_Low,Feature55_Medium,Feature5,Feature3,Feature52_Low,Feature53_Low,Feature1
StrongSignal_Both	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Feature53_Medium,Feature52_Medium,Feature51_Low,Feature55_Low,Feature55_Medium,Feature5,Feature3,Feature52_Low,Feature53_Low,Feature1
StrongSignal_Both	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda	Feature2,Feature1,Feature3,Feature4,Feature49,Feature5,Feature51_Low,Feature52_Low,Feature52_Medium,Feature53_Low,Feature53_Medium,Feature54_Low,Feature55_Low,Feature55_Medium,Feature7,Feature12,Feature15,Feature17,Feature19,Feature20
StrongSignal_Both	2	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Feature55_Low,Feature52_Medium,Feature55_Medium,Feature3,Feature5,Feature53_Medium,Feature51_Low,Feature51_Medium,Feature4,Feature52_Low
StrongSignal_Both	2	2	AlgorithmScripts/Classification/tsv/sklearn/lda	Feature3,Feature52_Medium,Feature52_Low,Feature53_Low,Feature5,Feature53_Medium,Feature55_Medium,Feature54_Medium,Feature1,Feature51_Low
StrongSignal_Both	2	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression	Feature3,Feature52_Medium,Feature52_Low,Feature53_Low,Feature5,Feature53_Medium,Feature55_Medium,Feature54_Medium,Feature1,Feature51_Low
