Description	Iteration	Algorithm	ElapsedSeconds
StrongSignal_Both	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	0.72048512
StrongSignal_Both	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	1.065703744
StrongSignal_Both	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	1.34093056
StrongSignal_Both	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	0.882729344
StrongSignal_Both	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	0.731552256
StrongSignal_Both	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/anova/default	0.78723744
StrongSignal_Both	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	1.08075456
StrongSignal_Both	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	1.325507072
StrongSignal_Both	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_logistic_regression/default	0.890601408
StrongSignal_Both	2	AlgorithmScripts/FeatureSelection/tsv/sklearn/svm_rfe/default	0.748882944
