Description	Iteration	Algorithm	Metric	Value
Breast cancer	1	Bagging	AUROC	0.62995367987648
Breast cancer	1	BayesNet	AUROC	0.652084405558415
Breast cancer	1	DecisionTable	AUROC	0.687081832218219
Breast cancer	1	HoeffdingTree	AUROC	0.640504374678332
Breast cancer	1	HyperPipes	AUROC	0.495367987647967
Breast cancer	1	J48	AUROC	0.58955223880597
Breast cancer	1	JRip	AUROC	0.617344312918168
Breast cancer	1	LibLINEAR	AUROC	0.555841482243953
Breast cancer	1	MultilayerPerceptron	AUROC	0.575656201749871
Breast cancer	1	NaiveBayes	AUROC	0.63381369016984
Breast cancer	1	OneR	AUROC	0.524189397838394
Breast cancer	1	REPTree	AUROC	0.62892434379825
Breast cancer	1	RandomForest	AUROC	0.617858980957282
Breast cancer	1	RandomTree	AUROC	0.627123005661348
Breast cancer	1	SMO	AUROC	0.519042717447247
Breast cancer	1	SVM_Linear	AUROC	0.582861554297478
Breast cancer	1	SVM_Poly	AUROC	0.616572310859495
Breast cancer	1	SVM_RBF	AUROC	0.593154915079773
Breast cancer	1	SimpleLogistic	AUROC	0.634585692228513
Breast cancer	1	VFI	AUROC	0.592897581060216
Breast cancer	2	Bagging	AUROC	0.623262995367988
Breast cancer	2	BayesNet	AUROC	0.738291302110139
Breast cancer	2	DecisionTable	AUROC	0.678075141533711
Breast cancer	2	HoeffdingTree	AUROC	0.5
Breast cancer	2	HyperPipes	AUROC	0.572568193515183
Breast cancer	2	J48	AUROC	0.687339166237777
Breast cancer	2	JRip	AUROC	0.57874420998456
Breast cancer	2	LibLINEAR	AUROC	0.556356150283067
Breast cancer	2	MultilayerPerceptron	AUROC	0.57771487390633
Breast cancer	2	NaiveBayes	AUROC	0.726453937210499
Breast cancer	2	OneR	AUROC	0.546577457539887
Breast cancer	2	REPTree	AUROC	0.630468347915594
Breast cancer	2	RandomForest	AUROC	0.620432321152856
Breast cancer	2	RandomTree	AUROC	0.662892434379825
Breast cancer	2	SMO	AUROC	0.531652084405558
Breast cancer	2	SVM_Linear	AUROC	0.68991250643335
Breast cancer	2	SVM_Poly	AUROC	0.720277920741122
Breast cancer	2	SVM_RBF	AUROC	0.730056613484303
Breast cancer	2	SimpleLogistic	AUROC	0.73623262995368
Breast cancer	2	VFI	AUROC	0.657745753988677
E. coli	1	Bagging	AUROC	0.807816711866671
E. coli	1	BayesNet	AUROC	0.910795020688151
E. coli	1	DecisionTable	AUROC	0.852633702825492
E. coli	1	HoeffdingTree	AUROC	0.843640484126418
E. coli	1	HyperPipes	AUROC	0.811152420273939
E. coli	1	J48	AUROC	0.811366858228823
E. coli	1	JRip	AUROC	0.723661972907126
E. coli	1	LibLINEAR	AUROC	0.830044842779543
E. coli	1	MultilayerPerceptron	AUROC	0.836636597088838
E. coli	1	NaiveBayes	AUROC	0.849043337663168
E. coli	1	OneR	AUROC	0.615505581298976
E. coli	1	REPTree	AUROC	0.866517953685399
E. coli	1	RandomForest	AUROC	0.896492218905867
E. coli	1	RandomTree	AUROC	0.835809737249446
E. coli	1	SMO	AUROC	0.764304917784475
E. coli	1	SVM_Linear	AUROC	0.931543671032676
E. coli	1	SVM_Poly	AUROC	0.926535500648746
E. coli	1	SVM_RBF	AUROC	0.930199823158172
E. coli	1	SimpleLogistic	AUROC	0.838980020910858
E. coli	1	VFI	AUROC	0.868248264001368
E. coli	2	Bagging	AUROC	0.788475504149962
E. coli	2	BayesNet	AUROC	0.918770236624441
E. coli	2	DecisionTable	AUROC	0.89244727902305
E. coli	2	HoeffdingTree	AUROC	0.807412988572885
E. coli	2	HyperPipes	AUROC	0.782193228611892
E. coli	2	J48	AUROC	0.77967904225166
E. coli	2	JRip	AUROC	0.861932331356642
E. coli	2	LibLINEAR	AUROC	0.834853660483375
E. coli	2	MultilayerPerceptron	AUROC	0.905410905244891
E. coli	2	NaiveBayes	AUROC	0.786179052219003
E. coli	2	OneR	AUROC	0.61932644845114
E. coli	2	REPTree	AUROC	0.946176856604473
E. coli	2	RandomForest	AUROC	0.833387635025936
E. coli	2	RandomTree	AUROC	0.811647898451915
E. coli	2	SMO	AUROC	0.828789094968605
E. coli	2	SVM_Linear	AUROC	0.95469342619267
E. coli	2	SVM_Poly	AUROC	0.943689576361716
E. coli	2	SVM_RBF	AUROC	0.954997094708208
E. coli	2	SimpleLogistic	AUROC	0.876809081659454
E. coli	2	VFI	AUROC	0.793128300481431
Mushroom	1	Bagging	AUROC	1
Mushroom	1	BayesNet	AUROC	0.99672245756468
Mushroom	1	DecisionTable	AUROC	1
Mushroom	1	HoeffdingTree	AUROC	0.99475691446572
Mushroom	1	HyperPipes	AUROC	0.998794150360363
Mushroom	1	J48	AUROC	1
Mushroom	1	JRip	AUROC	0.99885145482389
Mushroom	1	LibLINEAR	AUROC	1
Mushroom	1	MultilayerPerceptron	AUROC	1
Mushroom	1	NaiveBayes	AUROC	0.994912728030833
Mushroom	1	OneR	AUROC	0.982388973966309
Mushroom	1	REPTree	AUROC	1
Mushroom	1	RandomForest	AUROC	1
Mushroom	1	RandomTree	AUROC	1
Mushroom	1	SMO	AUROC	1
Mushroom	1	SVM_Linear	AUROC	1
Mushroom	1	SVM_Poly	AUROC	0.992774725784498
Mushroom	1	SVM_RBF	AUROC	0.999894123181675
Mushroom	1	SimpleLogistic	AUROC	0.999769144875507
Mushroom	1	VFI	AUROC	0.99982699509583
Mushroom	2	Bagging	AUROC	1
Mushroom	2	BayesNet	AUROC	0.997106670348706
Mushroom	2	DecisionTable	AUROC	1
Mushroom	2	HoeffdingTree	AUROC	0.989823000156086
Mushroom	2	HyperPipes	AUROC	0.999178090265991
Mushroom	2	J48	AUROC	1
Mushroom	2	JRip	AUROC	1
Mushroom	2	LibLINEAR	AUROC	1
Mushroom	2	MultilayerPerceptron	AUROC	1
Mushroom	2	NaiveBayes	AUROC	0.99406462197064
Mushroom	2	OneR	AUROC	0.985068912710567
Mushroom	2	REPTree	AUROC	1
Mushroom	2	RandomForest	AUROC	1
Mushroom	2	RandomTree	AUROC	1
Mushroom	2	SMO	AUROC	1
Mushroom	2	SVM_Linear	AUROC	1
Mushroom	2	SVM_Poly	AUROC	0.991543771332269
Mushroom	2	SVM_RBF	AUROC	0.99997216640343
Mushroom	2	SimpleLogistic	AUROC	1
Mushroom	2	VFI	AUROC	1
Post-operative	1	Bagging	AUROC	0.433648074952423
Post-operative	1	BayesNet	AUROC	0.330178597569902
Post-operative	1	DecisionTable	AUROC	0.348545234958278
Post-operative	1	HoeffdingTree	AUROC	0.5
Post-operative	1	HyperPipes	AUROC	0.33713768115942
Post-operative	1	J48	AUROC	0.5
Post-operative	1	JRip	AUROC	0.5
Post-operative	1	LibLINEAR	AUROC	0.5
Post-operative	1	MultilayerPerceptron	AUROC	0.574731005709267
Post-operative	1	NaiveBayes	AUROC	0.327949787732396
Post-operative	1	OneR	AUROC	0.485177865612648
Post-operative	1	REPTree	AUROC	0.394094934855804
Post-operative	1	RandomForest	AUROC	0.336843068364807
Post-operative	1	RandomTree	AUROC	0.33188222807788
Post-operative	1	SMO	AUROC	0.459694773825209
Post-operative	1	SVM_Linear	AUROC	0.329527155614112
Post-operative	1	SVM_Poly	AUROC	0.512924535207144
Post-operative	1	SVM_RBF	AUROC	0.301110745132484
Post-operative	1	SimpleLogistic	AUROC	0.5
Post-operative	1	VFI	AUROC	0.370165422339335
Post-operative	2	Bagging	AUROC	0.334098228663446
Post-operative	2	BayesNet	AUROC	0.376046698872786
Post-operative	2	DecisionTable	AUROC	0.5
Post-operative	2	HoeffdingTree	AUROC	0.5
Post-operative	2	HyperPipes	AUROC	0.343518518518519
Post-operative	2	J48	AUROC	0.5
Post-operative	2	JRip	AUROC	0.5
Post-operative	2	LibLINEAR	AUROC	0.5245297174645
Post-operative	2	MultilayerPerceptron	AUROC	0.527724710876885
Post-operative	2	NaiveBayes	AUROC	0.375124432733128
Post-operative	2	OneR	AUROC	0.5
Post-operative	2	REPTree	AUROC	0.5
Post-operative	2	RandomForest	AUROC	0.535503586590543
Post-operative	2	RandomTree	AUROC	0.605864807495242
Post-operative	2	SMO	AUROC	0.473611111111111
Post-operative	2	SVM_Linear	AUROC	0.265517493778363
Post-operative	2	SVM_Poly	AUROC	0.25979907773386
Post-operative	2	SVM_RBF	AUROC	0.29110305958132
Post-operative	2	SimpleLogistic	AUROC	0.5
Post-operative	2	VFI	AUROC	0.345536890645586
Thyroid	1	Bagging	AUROC	0.835754423392019
Thyroid	1	BayesNet	AUROC	0.841142769169865
Thyroid	1	DecisionTable	AUROC	0.5
Thyroid	1	HoeffdingTree	AUROC	0.5
Thyroid	1	HyperPipes	AUROC	0.560085553735003
Thyroid	1	J48	AUROC	0.5
Thyroid	1	JRip	AUROC	0.499153259949196
Thyroid	1	LibLINEAR	AUROC	0.5
Thyroid	1	MultilayerPerceptron	AUROC	0.823218271990499
Thyroid	1	NaiveBayes	AUROC	0.843941409987134
Thyroid	1	OneR	AUROC	0.5
Thyroid	1	REPTree	AUROC	0.828920021553383
Thyroid	1	RandomForest	AUROC	0.829876727844552
Thyroid	1	RandomTree	AUROC	0.835204592190198
Thyroid	1	SMO	AUROC	0.5
Thyroid	1	SVM_Linear	AUROC	0.776862003364967
Thyroid	1	SVM_Poly	AUROC	0.326830662986463
Thyroid	1	SVM_RBF	AUROC	0.608019837909762
Thyroid	1	SimpleLogistic	AUROC	0.846333175715056
Thyroid	1	VFI	AUROC	0.825829970199149
Thyroid	2	Bagging	AUROC	0.838778495002034
Thyroid	2	BayesNet	AUROC	0.842929720575783
Thyroid	2	DecisionTable	AUROC	0.5
Thyroid	2	HoeffdingTree	AUROC	0.5
Thyroid	2	HyperPipes	AUROC	0.57112616426757
Thyroid	2	J48	AUROC	0.5
Thyroid	2	JRip	AUROC	0.5
Thyroid	2	LibLINEAR	AUROC	0.5
Thyroid	2	MultilayerPerceptron	AUROC	0.843045185128166
Thyroid	2	NaiveBayes	AUROC	0.843715979194387
Thyroid	2	OneR	AUROC	0.5
Thyroid	2	REPTree	AUROC	0.5
Thyroid	2	RandomForest	AUROC	0.846619087940002
Thyroid	2	RandomTree	AUROC	0.846948986661095
Thyroid	2	SMO	AUROC	0.5
Thyroid	2	SVM_Linear	AUROC	0.72692633361558
Thyroid	2	SVM_Poly	AUROC	0.733491318165323
Thyroid	2	SVM_RBF	AUROC	0.706318660171327
Thyroid	2	SimpleLogistic	AUROC	0.848812914435268
Thyroid	2	VFI	AUROC	0.836089820425129
