Description	Iteration	Algorithm	Metric	Value
StrongSignal_Both	1	Ensemble_Select_Best	Accuracy	1.0
StrongSignal_Both	1	Ensemble_Select_Best	AUROC	1.0
StrongSignal_Both	1	Ensemble_Select_Best	BalancedAccuracy	1.0
StrongSignal_Both	1	Ensemble_Select_Best	Brier	0.016536591591419
StrongSignal_Both	1	Ensemble_Select_Best	F1	1.0
StrongSignal_Both	1	Ensemble_Select_Best	FDR	0.0
StrongSignal_Both	1	Ensemble_Select_Best	FNR	0.0
StrongSignal_Both	1	Ensemble_Select_Best	FPR	0.0
StrongSignal_Both	1	Ensemble_Select_Best	MCC	1.0
StrongSignal_Both	1	Ensemble_Select_Best	MMCE	0.0
StrongSignal_Both	1	Ensemble_Select_Best	NPV	1.0
StrongSignal_Both	1	Ensemble_Select_Best	PPV	1.0
StrongSignal_Both	1	Ensemble_Select_Best	Precision	1.0
StrongSignal_Both	1	Ensemble_Select_Best	Recall	1.0
StrongSignal_Both	1	Ensemble_Select_Best	TNR	1.0
StrongSignal_Both	1	Ensemble_Select_Best	TPR	1.0
StrongSignal_Both	2	Ensemble_Select_Best	Accuracy	1.0
StrongSignal_Both	2	Ensemble_Select_Best	AUROC	1.0
StrongSignal_Both	2	Ensemble_Select_Best	BalancedAccuracy	1.0
StrongSignal_Both	2	Ensemble_Select_Best	Brier	0.0332826386987937
StrongSignal_Both	2	Ensemble_Select_Best	F1	1.0
StrongSignal_Both	2	Ensemble_Select_Best	FDR	0.0
StrongSignal_Both	2	Ensemble_Select_Best	FNR	0.0
StrongSignal_Both	2	Ensemble_Select_Best	FPR	0.0
StrongSignal_Both	2	Ensemble_Select_Best	MCC	1.0
StrongSignal_Both	2	Ensemble_Select_Best	MMCE	0.0
StrongSignal_Both	2	Ensemble_Select_Best	NPV	1.0
StrongSignal_Both	2	Ensemble_Select_Best	PPV	1.0
StrongSignal_Both	2	Ensemble_Select_Best	Precision	1.0
StrongSignal_Both	2	Ensemble_Select_Best	Recall	1.0
StrongSignal_Both	2	Ensemble_Select_Best	TNR	1.0
StrongSignal_Both	2	Ensemble_Select_Best	TPR	1.0
