Description	Outer_Iteration	Inner_Iteration	Algorithm	Metric	Value
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.6
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.670995670995671
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.461038961038961
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.209172817665736
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.714285714285714
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.363636363636364
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.4
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	0.482539682539683
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.285714285714286
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.636363636363636
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.285714285714286
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.511111111111111
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.588744588744589
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.383116883116883
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.311296648255499
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	NA
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	0.888888888888889
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.80952380952381
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.424242424242424
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	-0.310737345008519
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.488888888888889
NoSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.468864468864469
