Description	Iteration	Algorithm	Metric	Value
NoSignal_Both	1	Ensemble_Select_Best	Accuracy	0.6
NoSignal_Both	1	Ensemble_Select_Best	AUROC	0.536666666666667
NoSignal_Both	1	Ensemble_Select_Best	BalancedAccuracy	0.511111111111111
NoSignal_Both	1	Ensemble_Select_Best	Brier	0.250111149704102
NoSignal_Both	1	Ensemble_Select_Best	F1	0.333333333333333
NoSignal_Both	1	Ensemble_Select_Best	FDR	0.666666666666667
NoSignal_Both	1	Ensemble_Select_Best	FNR	0.666666666666667
NoSignal_Both	1	Ensemble_Select_Best	FPR	0.311111111111111
NoSignal_Both	1	Ensemble_Select_Best	MCC	0.0222222222222222
NoSignal_Both	1	Ensemble_Select_Best	MMCE	0.4
NoSignal_Both	1	Ensemble_Select_Best	NPV	0.688888888888889
NoSignal_Both	1	Ensemble_Select_Best	PPV	0.333333333333333
NoSignal_Both	1	Ensemble_Select_Best	Precision	0.333333333333333
NoSignal_Both	1	Ensemble_Select_Best	Recall	0.333333333333333
NoSignal_Both	1	Ensemble_Select_Best	TNR	0.688888888888889
NoSignal_Both	1	Ensemble_Select_Best	TPR	0.333333333333333
NoSignal_Both	2	Ensemble_Select_Best	Accuracy	0.633333333333333
NoSignal_Both	2	Ensemble_Select_Best	AUROC	0.634444444444444
NoSignal_Both	2	Ensemble_Select_Best	BalancedAccuracy	0.538888888888889
NoSignal_Both	2	Ensemble_Select_Best	Brier	0.200171689133663
NoSignal_Both	2	Ensemble_Select_Best	F1	NA
NoSignal_Both	2	Ensemble_Select_Best	FDR	0.654545454545455
NoSignal_Both	2	Ensemble_Select_Best	FNR	0.633333333333333
NoSignal_Both	2	Ensemble_Select_Best	FPR	0.288888888888889
NoSignal_Both	2	Ensemble_Select_Best	MCC	0.0709454033276503
NoSignal_Both	2	Ensemble_Select_Best	MMCE	0.366666666666667
NoSignal_Both	2	Ensemble_Select_Best	NPV	0.718055555555556
NoSignal_Both	2	Ensemble_Select_Best	PPV	0.345454545454545
NoSignal_Both	2	Ensemble_Select_Best	Precision	0.345454545454545
NoSignal_Both	2	Ensemble_Select_Best	Recall	0.366666666666667
NoSignal_Both	2	Ensemble_Select_Best	TNR	0.711111111111111
NoSignal_Both	2	Ensemble_Select_Best	TPR	0.366666666666667
