Description	Iteration	Algorithm	Metric	Value
NoSignal_Both	1	Ensemble_Select_Best	Accuracy	0.5
NoSignal_Both	1	Ensemble_Select_Best	AUROC	0.386666666666667
NoSignal_Both	1	Ensemble_Select_Best	BalancedAccuracy	0.377777777777778
NoSignal_Both	1	Ensemble_Select_Best	Brier	0.259719258946278
NoSignal_Both	1	Ensemble_Select_Best	F1	NA
NoSignal_Both	1	Ensemble_Select_Best	FDR	0.861111111111111
NoSignal_Both	1	Ensemble_Select_Best	FNR	0.833333333333333
NoSignal_Both	1	Ensemble_Select_Best	FPR	0.411111111111111
NoSignal_Both	1	Ensemble_Select_Best	MCC	-0.259997701200533
NoSignal_Both	1	Ensemble_Select_Best	MMCE	0.5
NoSignal_Both	1	Ensemble_Select_Best	NPV	0.582516339869281
NoSignal_Both	1	Ensemble_Select_Best	PPV	0.138888888888889
NoSignal_Both	1	Ensemble_Select_Best	Precision	0.138888888888889
NoSignal_Both	1	Ensemble_Select_Best	Recall	0.166666666666667
NoSignal_Both	1	Ensemble_Select_Best	TNR	0.588888888888889
NoSignal_Both	1	Ensemble_Select_Best	TPR	0.166666666666667
NoSignal_Both	2	Ensemble_Select_Best	Accuracy	0.666666666666667
NoSignal_Both	2	Ensemble_Select_Best	AUROC	0.625555555555556
NoSignal_Both	2	Ensemble_Select_Best	BalancedAccuracy	0.566666666666667
NoSignal_Both	2	Ensemble_Select_Best	Brier	0.219653277735082
NoSignal_Both	2	Ensemble_Select_Best	F1	0.444444444444444
NoSignal_Both	2	Ensemble_Select_Best	FDR	0.5
NoSignal_Both	2	Ensemble_Select_Best	FNR	0.566666666666667
NoSignal_Both	2	Ensemble_Select_Best	FPR	0.3
NoSignal_Both	2	Ensemble_Select_Best	MCC	0.161690416690889
NoSignal_Both	2	Ensemble_Select_Best	MMCE	0.333333333333333
NoSignal_Both	2	Ensemble_Select_Best	NPV	0.696078431372549
NoSignal_Both	2	Ensemble_Select_Best	PPV	0.5
NoSignal_Both	2	Ensemble_Select_Best	Precision	0.5
NoSignal_Both	2	Ensemble_Select_Best	Recall	0.433333333333333
NoSignal_Both	2	Ensemble_Select_Best	TNR	0.7
NoSignal_Both	2	Ensemble_Select_Best	TPR	0.433333333333333
