Description	Iteration	Outer_Fold	Inner_Fold	Algorithm	Metric	Value
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.733333333333333
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.911796536796537
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.624458874458874
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.146791182585392
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	NA
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.5
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.251082251082251
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	NA
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.266666666666667
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	0.766666666666667
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	NA
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	NA
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.5
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.748917748917749
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.5
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.822222222222222
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.832130832130832
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.769300144300144
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.1484309659222
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	0.683333333333333
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	0.194444444444444
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.305555555555556
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.155844155844156
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	0.57911904799552
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.177777777777778
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.857142857142857
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	PPV	0.805555555555556
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Precision	0.805555555555556
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Recall	0.694444444444444
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TNR	0.844155844155844
StrongSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TPR	0.694444444444444
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.688888888888889
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.88852813852813906
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.5625
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.174736989630601
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	NA
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.583333333333333
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.291666666666667
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	NA
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.311111111111111
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	0.83968253968254
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	NA
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	NA
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.416666666666667
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.708333333333333
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.416666666666667
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.777777777777778
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.905844155844156
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.6875
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.147174545796672
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	0.601169590643275
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	0.138888888888889
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.416666666666667
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.208333333333333
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	0.520451146382898
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.222222222222222
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.877289377289377
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	PPV	0.861111111111111
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Precision	0.861111111111111
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Recall	0.583333333333333
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TNR	0.791666666666667
StrongSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TPR	0.583333333333333
