Description	Outer_Iteration	Inner_Iteration	Algorithm	Metric	Value
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.955555555555556
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	1.0
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.9375
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.0475537539131666
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	0.93015873015873
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	0.0416666666666667
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.0833333333333333
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.0416666666666667
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	0.901385399196283
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.0444444444444444
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	0.972222222222222
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	0.958333333333333
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	0.958333333333333
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.916666666666667
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.958333333333333
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.916666666666667
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.911111111111111
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.970238095238095
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.875
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.08410546689996
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	0.847222222222222
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	0.0740740740740741
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.166666666666667
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.0833333333333333
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	0.804735417137988
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.0888888888888889
StrongSignal_Both	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.948717948717949
