Description	Iteration	Outer_Fold	Inner_Fold	Feature_Selection_Algorithm	Num_Features	Classification_Algorithm	Metric	Value
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.422222222222222
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.274050024050024
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.307720057720058
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.480322145821257
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	0.904761904761905
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.916666666666667
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.467893217893218
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	-0.373116816485584
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.577777777777778
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	0.538888888888889
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	0.0952380952380952
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	0.0952380952380952
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.0833333333333333
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.532106782106782
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.0833333333333333
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.422222222222222
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.36002886002886
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.308982683982684
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.333347491349087
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	NA
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	0.904761904761905
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.916666666666667
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.465367965367965
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	-0.369686321048403
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.577777777777778
NoSignal_Both	1	1	1	AlgorithmScripts/FeatureSelection/tsv/sklearn/random_forest_rfe/default	5	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.536324786324786
