Description	Iteration	Outer_Fold	Inner_Fold	Algorithm	Metric	Value
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.644444444444444
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.441558441558442
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.465277777777778
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.214528124634361
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.708333333333333
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.361111111111111
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.355555555555556
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	0.506349206349206
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.291666666666667
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.638888888888889
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.291666666666667
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.555555555555556
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.2754329004329
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.400703463203463
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.292538923606423
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.791666666666667
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.406926406926407
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.444444444444444
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.562121212121212
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	PPV	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Precision	NA
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Recall	0.208333333333333
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TNR	0.593073593073593
NoSignal_Both	1	1	1	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TPR	0.208333333333333
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.644444444444444
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.512987012987013
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.5
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.21570613912562
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.666666666666667
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.333333333333333
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.355555555555556
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.333333333333333
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.666666666666667
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TPR	0.333333333333333
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Accuracy	0.555555555555556
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	AUROC	0.281926406926407
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	BalancedAccuracy	0.42775974025974
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Brier	0.322199576924964
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	F1	NA
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FDR	0.861111111111111
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FNR	0.761904761904762
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	FPR	0.382575757575758
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MCC	-0.199378494211676
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	MMCE	0.444444444444444
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	NPV	0.57997557997558
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	PPV	0.138888888888889
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Precision	0.138888888888889
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	Recall	0.238095238095238
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TNR	0.617424242424242
NoSignal_Both	1	1	2	AlgorithmScripts/Classification/tsv/sklearn/logistic_regression/default	TPR	0.238095238095238
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Accuracy	0.688888888888889
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	AUROC	0.453282828282828
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	BalancedAccuracy	0.5
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Brier	0.2115738697789
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	F1	NA
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FDR	NA
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FNR	0.666666666666667
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	FPR	0.333333333333333
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MCC	NA
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	MMCE	0.311111111111111
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	NPV	NA
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	PPV	NA
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Precision	NA
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	Recall	0.333333333333333
NoSignal_Both	1	2	1	AlgorithmScripts/Classification/tsv/sklearn/lda/default	TNR	0.666666666666667
