Description	Iteration	Fold	Algorithm	Metric	Value
StrongSignal_Both	1	1	Ensemble_Select_Best	Accuracy	0.955555555555556
StrongSignal_Both	1	1	Ensemble_Select_Best	AUROC	0.985252838948491
StrongSignal_Both	1	1	Ensemble_Select_Best	BalancedAccuracy	0.933134920634921
StrongSignal_Both	1	1	Ensemble_Select_Best	Brier	0.0621085164410031
StrongSignal_Both	1	1	Ensemble_Select_Best	F1	0.931303418803419
StrongSignal_Both	1	1	Ensemble_Select_Best	FDR	0.0392156862745098
StrongSignal_Both	1	1	Ensemble_Select_Best	FNR	0.0892857142857143
StrongSignal_Both	1	1	Ensemble_Select_Best	FPR	0.0444444444444444
StrongSignal_Both	1	1	Ensemble_Select_Best	MCC	0.898551626058185
StrongSignal_Both	1	1	Ensemble_Select_Best	MMCE	0.0444444444444444
StrongSignal_Both	1	1	Ensemble_Select_Best	NPV	0.971618357487923
StrongSignal_Both	1	1	Ensemble_Select_Best	PPV	0.96078431372549
StrongSignal_Both	1	1	Ensemble_Select_Best	Precision	0.96078431372549
StrongSignal_Both	1	1	Ensemble_Select_Best	Recall	0.910714285714286
StrongSignal_Both	1	1	Ensemble_Select_Best	TNR	0.955555555555556
StrongSignal_Both	1	1	Ensemble_Select_Best	TPR	0.910714285714286
StrongSignal_Both	1	2	Ensemble_Select_Best	Accuracy	0.977777777777778
StrongSignal_Both	1	2	Ensemble_Select_Best	AUROC	1.0
StrongSignal_Both	1	2	Ensemble_Select_Best	BalancedAccuracy	0.981642512077295
StrongSignal_Both	1	2	Ensemble_Select_Best	Brier	0.0181328310049165
StrongSignal_Both	1	2	Ensemble_Select_Best	F1	0.966283524904215
StrongSignal_Both	1	2	Ensemble_Select_Best	FDR	0.0416666666666667
StrongSignal_Both	1	2	Ensemble_Select_Best	FNR	0.0222222222222222
StrongSignal_Both	1	2	Ensemble_Select_Best	FPR	0.0144927536231884
StrongSignal_Both	1	2	Ensemble_Select_Best	MCC	0.950089208499289
StrongSignal_Both	1	2	Ensemble_Select_Best	MMCE	0.0222222222222222
StrongSignal_Both	1	2	Ensemble_Select_Best	NPV	0.979166666666667
StrongSignal_Both	1	2	Ensemble_Select_Best	PPV	0.958333333333333
StrongSignal_Both	1	2	Ensemble_Select_Best	Precision	0.958333333333333
StrongSignal_Both	1	2	Ensemble_Select_Best	Recall	0.977777777777778
StrongSignal_Both	1	2	Ensemble_Select_Best	TNR	0.985507246376812
StrongSignal_Both	1	2	Ensemble_Select_Best	TPR	0.977777777777778
StrongSignal_Both	2	1	Ensemble_Select_Best	Accuracy	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	AUROC	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	BalancedAccuracy	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	Brier	0.0365202857037585
StrongSignal_Both	2	1	Ensemble_Select_Best	F1	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	FDR	0.0
StrongSignal_Both	2	1	Ensemble_Select_Best	FNR	0.0
StrongSignal_Both	2	1	Ensemble_Select_Best	FPR	0.0
StrongSignal_Both	2	1	Ensemble_Select_Best	MCC	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	MMCE	0.0
StrongSignal_Both	2	1	Ensemble_Select_Best	NPV	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	PPV	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	Precision	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	Recall	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	TNR	1.0
StrongSignal_Both	2	1	Ensemble_Select_Best	TPR	1.0
StrongSignal_Both	2	2	Ensemble_Select_Best	Accuracy	0.977777777777778
StrongSignal_Both	2	2	Ensemble_Select_Best	AUROC	0.995555555555556
StrongSignal_Both	2	2	Ensemble_Select_Best	BalancedAccuracy	0.965079365079365
StrongSignal_Both	2	2	Ensemble_Select_Best	Brier	0.0498054565007748
StrongSignal_Both	2	2	Ensemble_Select_Best	F1	0.963606286186931
StrongSignal_Both	2	2	Ensemble_Select_Best	FDR	0.0208333333333333
StrongSignal_Both	2	2	Ensemble_Select_Best	FNR	0.0476190476190476
StrongSignal_Both	2	2	Ensemble_Select_Best	FPR	0.0222222222222222
StrongSignal_Both	2	2	Ensemble_Select_Best	MCC	0.947247104622817
StrongSignal_Both	2	2	Ensemble_Select_Best	MMCE	0.0222222222222222
StrongSignal_Both	2	2	Ensemble_Select_Best	NPV	0.986111111111111
StrongSignal_Both	2	2	Ensemble_Select_Best	PPV	0.979166666666667
StrongSignal_Both	2	2	Ensemble_Select_Best	Precision	0.979166666666667
StrongSignal_Both	2	2	Ensemble_Select_Best	Recall	0.952380952380952
StrongSignal_Both	2	2	Ensemble_Select_Best	TNR	0.977777777777778
StrongSignal_Both	2	2	Ensemble_Select_Best	TPR	0.952380952380952
