Description	Iteration	Algorithm	Metric	Value
My_Interesting_Analysis	1	Ensemble_Select_Best	AUROC	1
My_Interesting_Analysis	1	Ensemble_Select_Best	Accuracy	0.966666666666667
My_Interesting_Analysis	1	Ensemble_Select_Best	BalancedAccuracy	0.95
My_Interesting_Analysis	1	Ensemble_Select_Best	Brier	0.0174626644605796
My_Interesting_Analysis	1	Ensemble_Select_Best	F1	0.947089947089947
My_Interesting_Analysis	1	Ensemble_Select_Best	FDR	0.0303030303030303
My_Interesting_Analysis	1	Ensemble_Select_Best	FNR	0.0666666666666667
My_Interesting_Analysis	1	Ensemble_Select_Best	FPR	0.0333333333333333
My_Interesting_Analysis	1	Ensemble_Select_Best	MCC	0.92351981250591
My_Interesting_Analysis	1	Ensemble_Select_Best	MMCE	0.0333333333333333
My_Interesting_Analysis	1	Ensemble_Select_Best	NPV	0.979166666666667
My_Interesting_Analysis	1	Ensemble_Select_Best	PPV	0.96969696969697
My_Interesting_Analysis	1	Ensemble_Select_Best	Precision	0.96969696969697
My_Interesting_Analysis	1	Ensemble_Select_Best	Recall	0.933333333333333
My_Interesting_Analysis	1	Ensemble_Select_Best	TNR	0.966666666666667
My_Interesting_Analysis	1	Ensemble_Select_Best	TPR	0.933333333333333
