Description	Iteration	Algorithm	ElapsedSeconds
sick	1	AlgorithmScripts/Classification/arff/weka/Bagging/default	1.211895936
sick	1	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.971688192
sick	1	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	1.1347488
sick	1	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.840223872
sick	1	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.762025664
sick	1	AlgorithmScripts/Classification/arff/weka/J48/default	0.840843264
sick	1	AlgorithmScripts/Classification/arff/weka/JRip/default	0.98843552
sick	1	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	1.014792704
sick	1	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	7.916396032
sick	1	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.812489728
sick	1	AlgorithmScripts/Classification/arff/weka/OneR/default	0.776536
sick	1	AlgorithmScripts/Classification/arff/weka/REPTree/default	1.13866432
sick	1	AlgorithmScripts/Classification/arff/weka/RandomForest/default	1.354363392
sick	1	AlgorithmScripts/Classification/arff/weka/RandomTree/default	1.039106432
sick	1	AlgorithmScripts/Classification/arff/weka/SMO/default	1.207952768
sick	1	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	1.52025664
sick	1	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	1.646991872
sick	1	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	1.795203584
sick	1	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	1.437213568
sick	1	AlgorithmScripts/Classification/arff/weka/VFI/default	0.900792384
sick	2	AlgorithmScripts/Classification/arff/weka/Bagging/default	1.098749184
sick	2	AlgorithmScripts/Classification/arff/weka/BayesNet/default	0.9311584
sick	2	AlgorithmScripts/Classification/arff/weka/DecisionTable/default	1.078814976
sick	2	AlgorithmScripts/Classification/arff/weka/HoeffdingTree/default	0.831936896
sick	2	AlgorithmScripts/Classification/arff/weka/HyperPipes/default	0.76181568
sick	2	AlgorithmScripts/Classification/arff/weka/J48/default	0.827616128
sick	2	AlgorithmScripts/Classification/arff/weka/JRip/default	0.925755328
sick	2	AlgorithmScripts/Classification/arff/weka/LibLINEAR/default	0.987992832
sick	2	AlgorithmScripts/Classification/arff/weka/MultilayerPerceptron/default	8.138449408
sick	2	AlgorithmScripts/Classification/arff/weka/NaiveBayes/default	0.86850464
sick	2	AlgorithmScripts/Classification/arff/weka/OneR/default	0.825686784
sick	2	AlgorithmScripts/Classification/arff/weka/REPTree/default	1.220868608
sick	2	AlgorithmScripts/Classification/arff/weka/RandomForest/default	1.438458624
sick	2	AlgorithmScripts/Classification/arff/weka/RandomTree/default	1.08556864
sick	2	AlgorithmScripts/Classification/arff/weka/SMO/default	1.135147776
sick	2	AlgorithmScripts/Classification/arff/weka/SVM_Linear/default	1.430540928
sick	2	AlgorithmScripts/Classification/arff/weka/SVM_Poly/default	1.425091968
sick	2	AlgorithmScripts/Classification/arff/weka/SVM_RBF/default	1.771614208
sick	2	AlgorithmScripts/Classification/arff/weka/SimpleLogistic/default	1.553369088
sick	2	AlgorithmScripts/Classification/arff/weka/VFI/default	0.858320448
